,Review Title,sentiment_category
253,THE WORLD IS BEYOND CRUELTY...!!!,neutral
254,A grand continuation of the battle for Arrakis,positive
255,"After this film, my faith in the trilogy was restoredüåí",positive
256,We are witnessing the birth of a cult classic,neutral
257,An absolutely Stellar Sci-Fi film!,neutral
258,good job,positive
259,Absolutely Incredible,neutral
260,Great but first one still takes the cake.,positive
261,Spectacular Cinematic Experience,neutral
262,SAVIOUR,neutral
263,Very well executed.,positive
264,Beware of saviors,neutral
265,"My 2,200 review on here!",neutral
266,And that is how you do an adaptation,neutral
267,"Astonishing Perfection, a legit Masterpiece",positive
268,Everything That Film Can and Should Be,neutral
269,Pinnacle of the movie going experience,neutral
270,A gem in this grim times,negative
271,It's an experience,neutral
272,Amazing piece of work,positive
273,Timoth√©e Chalamet's Finest Performance,neutral
274,Best scifi film out there today,positive
275,I had to make an account to leave this review,negative
276,Speechless,neutral
277,What a great masterpiece,positive
278,"Close to perfection, but we need Part Three",positive
279,"Star Wars, except both sides are Siths",negative
280,Best!,positive
281,An absolute masterclass in sci-fi spectacle! [+88%],neutral
282,SPECTACULAR,neutral
283,Who needs Games of Thrones,neutral
284,Instant Classic!,neutral
285,Best Fiction Movie Ever,positive
286,"Entertaining, but had many missed opportunities.",positive
287,Masterpiece!,positive
288,A cinematic masterpiece.,positive
289,Awesome Cinematography and Action Scenes,positive
290,My peak cinema experience,neutral
291,This is what the word Epic was made for,neutral
292,A Masterpiece,positive
293,Frank Herbert's world brought to life,neutral
294,A narrative and audiovisual triumph,positive
295,This kind of filmmaking is on another level!,neutral
296,A Sci-Fi Epic for the Ages!,neutral
297,Good Continuation,positive
298,Unparalleled Epic Visual Extravaganza,neutral
299,Heavy Spoilers for book readers:,neutral
300,Brilliant movie,positive
301,This movie is now the bar for all sci-fi movies,neutral
302,Dune: Part 2 - A Cinematic Masterpiece,positive
303,Absolutely Stunning Cinematic Experience,positive
304,Dune Part II: Answer to How to Adapt A Book Perfectly,positive
305,"Better then the first one, but still pretty boring and slow going",positive
306,"It was Good, But It Was Long",positive
307,As a result the film is incredible and visually stunning.,positive
308,Absolutely phenomenal filmmaking. The talent of Denis Villeneuve and Grieg Fraser are in the cosmos,positive
309,WHAT A SEQUEL!,neutral
310,Beautiful piece of art,positive
311,Outstanding piece of film.,positive
312,Let's control the Universe,neutral
313,"""Long live cinema"" as Denis said",neutral
314,A Complex Vision,positive
315,More of That Good Stuff from Part One,positive
316,Just one word to describe it: MASTERPIECE,positive
317,The second epic.,neutral
318,"Best sequel since ""The Dark Knight""",positive
319,Just ok,positive
320,Excellent film,positive
321,The closest movie to perfection in its genre...,positive
322,Breath of Fresh Air in Hollywood,positive
323,Very Spicy,neutral
324,Fanaticism told well,positive
325,This is Science Fiction Royalty at its finest,neutral
326,A masterpiece.,positive
327,What a beautiful movie. It felt like an iconic movie all the way through.,positive
328,Come on! Not spicey!,neutral
329,Best Sci-Fi Movie I've Ever Seen,positive
330,Masterpiece!!!,positive
331,Very entertaining,positive
332,Astonishingly Beautiful,positive
333,"Not a movie, a decade event.",neutral
334,Made an account just to glaze this thing,neutral
335,A feast for your eyes,neutral
336,"One of the best movies ever made, Dune: Part 2",positive
337,Frank Herberts best adaptation.,positive
338,"Cultural, Important, Intense",positive
339,"Let's be serious, guys..",negative
340,Mind blowing can't think about it ✨,neutral
341,"Solid movie - but hardly the ""best sci fi of all time"" level",positive
342,One Word: Perfection,positive
343,A sci-fi epic for ages!!,neutral
344,Breathtakingly fantastic.,positive
345,BEST MOVIE OF THE YEAR,positive
346,"Breathless, Brealth Taking and Brazen",neutral
347,Who let these guys cook?,neutral
348,Just phenomenal,neutral
349,A Masterful Blend of Visual Splendor and Narrative Depth,positive
350,It Took My Breath Away,neutral
351,Without a Question the Most Epic Movie to Ever Exist. How Can You Go Back to Regular Movies After This?,neutral
352,The Bar for Sci/Fi,neutral
353,An Excellent Sci-Fi Epic,positive
354,"Sequel surpassed part 1, and it was a pretty good thing in the first place",positive
355,Dune is Cinema,neutral
356,Truly epic and sensational filmmaking,positive
357,Mainstream Sci-Fi at its finest,neutral
358,Didn't expect it too be this good !!,positive
359,"Duna, masterpiece",positive
360,"Im in the minority, but I hated it.",negative
361,"movie of the year, undoubtedly",neutral
362,Overhyped But Still Good,positive
363,Unreal,neutral
364,Best Sci-Fi/Action film since Dark Knight,positive
365,A Masterpiece,positive
366,The movie experience I've always desired,positive
367,A Great Person Parameter,positive
368,Great experience (Visual and Sound),positive
369,Masterpiece once again,positive
370,"Dune: Part Two offers a satisfying conclusion to a spectacular duology, a cinematic masterpiece and among the best sci-fi films",positive
371,The spice of life.,neutral
372,Dunes perfection,positive
373,An absolute masterpiece,positive
374,A Generation defining film,neutral
375,Dune 2: Epic Sci-Fi Mastery Unleashed,neutral
376,Epic novel--epic adaptation,neutral
377,THIS IS WHAT ITS ALL ABOUT!,neutral
378,A Riveting Continuation of Epic Sci-Fi Saga,neutral
379,Denis the menace,negative
380,Cinematic perfection,positive
381,Best film since infinity war !!!,positive
382,BEST MOVIE I HAVE EVER SEEN!,positive
383,I'm just thankful that movies like this exist!,positive
384,100/10.... and that's not Dune 2 much,neutral
385,It's that tingle you're feeling that does it,positive
386,A whole world to discover,neutral
387,Gripping!!!,neutral
388,Temper your expectations...,negative
389,I'm still processing this absolute masterpiece.,positive
390,Dune (Part 1 and Part 2) = True Masterpiece,positive
391,See it on the big screen,neutral
392,Best movie I have seen in a very long time.,positive
393,Four Losers in a Row for Villaneuve,negative
394,Spectacular Film and Adaptation,neutral
395,I was disappointed,negative
396,"narratively dense, visually unparalleled",neutral
397,"Stunning, but story could be tighter",positive
398,A filmmaking Masterpiece,positive
399,Unmissable: A True Cinematic Triumph,positive
400,"The prodigal son of Sci-Fi has returned, or perhaps... its messiah.",neutral
401,The Spice must flow.,neutral
402,A Breathtaking Conclusion to Book 1,positive
403,Perfection,positive
404,Star-Wars But it's Stunning,positive
405,ANOTHER ONE HIT OUT OF THE PARK...!,neutral
406,"Best version this century,albeit the timeline's altered.",positive
407,What a magnificent movie.,positive
408,Amazing movie,positive
409,A once in a lifetime movie,neutral
410,"Perfection, a masterpiece",positive
411,Masterpiece,positive
412,Part Three To Come,neutral
413,EPIC MASTERPIECE!,positive
414,Dune: Part Two,neutral
415,"""May thy knife chip and shatter""",neutral
416,Wow. Just wow.,positive
417,A masterpiece,positive
418,A masterclass in cinematography but the story led a bit to desire,positive
419,"Great movie, Zendaya is the main problem",positive
420,Only bad thing is it was hours too short,negative
421,Nearly a masterpiece for me,positive
422,Masterpiece,positive
423,A Masterpiece of Film Making,positive
424,Perfect!,positive
425,An Unholy Mess,negative
426,A Spectacular Cinematic Achievement,neutral
427,Dune: part 2,neutral
428,Much needed blockbuster!,positive
429,Dune Part 2 was immense,neutral
430,Finally a movie for movie lovers!,positive
431,unhealthy,negative
432,Is there a better word than masterpiece?,positive
433,A very rare perfect film,positive
434,Homage to Frank Herbert,neutral
435,The Star Wars of our Generation,negative
436,A movie to see at the cinema,neutral
437,Better than the first one! Even more grand and entertaining!,positive
438,Very enjoyable but strange pacing and editing at times,negative
439,A Journey Beyond the Sands: The Epic Saga Continues in Dune: Part Two,neutral
440,A masterful and immersive tour de force,neutral
441,Does justice to the books,positive
442,Dune 2: A Masterpiece of Sci-Fi Cinema,positive
443,Who edited this? No I know who but what?,negative
444,A Masterpiece,positive
445,Better Pace and Peak Cinematography,positive
446,Greatest cinema experience in the last decade,positive
447,The best cinema experience of my life!,positive
448,Massive Step Up,neutral
449,Wow!!,positive
450,The Near-Perfect Sequel,neutral
451,"THANK YOU, MR. VILLENEUVE",positive
452,Long Live The Fighters!!,negative
453,I was awestruck,neutral
454,One of the greatest films I've seen,positive
455,A Sci fi Epic,neutral
456,Great but schizophrenic,positive
457,Excellent film,positive
458,Need to see it at least twice,neutral
459,"Incredible Film, truly a Spectacle",positive
460,Movies are ruined for me now,negative
461,One of the greatest films of our generation,positive
462,Long Live Cinema,neutral
463,21st century history is made,neutral
464,MASTERPIECE!!,positive
465,may thy knife chip and shatter!,neutral
466,"Epic, mythic, bladder-busting",neutral
467,Part two does it with style,neutral
468,Visually Spectacular and Chalamet Captivates,neutral
469,My Book. My Movie. My Dune,neutral
470,Possibly the greatest sci-fi film of all time.,positive
471,A Cinematic Achievement,neutral
472,One of the greatest sequels ever,positive
473,Muad'dib leads the way,neutral
474,This just blew the lid off Sci Fi Fantasy Films!!,neutral
475,The first was GOOD the second comes and completes the awesomeness. nice,positive
476,Excellent sequel,positive
477,A must watch in cinema,neutral
478,Finally a good sci-if action movie,positive
479,Great Movie,positive
480,Mind blown.,neutral
481,Some changes but still amazing,positive
482,Nothing like you ever seen,negative
483,"Excellent, but flawed",positive
484,A dream come true,positive
485,An Epic Sci Fi Film,neutral
486,Caly film Diuna 2 - kosmiczny odlot!,neutral
487,Early Showing that made day off awesome.,positive
488,A truly magnificent cinematic experience that is meant for IMAX,positive
489,Better than the first one,positive
490,A masterpiece to be watched on the big screen,positive
491,Dune: Part Deaux,neutral
492,One of the best movies I've seen so far,positive
493,"Dune: Part Two (2024, Denis Villeneuve) Villeneuve continues the visually stunning 'Dune' with added action spectacle",positive
494,"Science-fiction EPIC at its best, grand entertainment",positive
495,Cinematically Sharp,neutral
496,Cinematic masterpiece,positive
497,I went in with high expectation,neutral
498,A Masterpiece of the Science Fiction Genre that is Thrilling and Great!,positive
499,Smiled throughout the whole movie,positive
500,"Amazing music and visuals, frustrating plot aspects",positive
501,Insanely cool,positive
502,Wow!!!!!,neutral
503,Blown away by this film,neutral
504,In The Shadows of Arrakis Lie One Secret... Dune 2 Is a MASTERPIECE,positive
505,"""He's impressive indeed!""",positive
506,One of the Best Films of All Time,positive
507,Overly polished cinematic snoozefest,neutral
508,Decent,neutral
509,"Fantastic grown-up science fiction, beautifully shot",positive
510,IMAX must see!,neutral
511,Fandemically Review'd,neutral
512,CONGRATULATIONS!,positive
513,Why theaters will never die,positive
514,Good movie but not as great as I hoped.,neutral
515,"Part two, the continuation of the best Dune adaption ever.",positive
516,Confusing but great,positive
517,Austin Butler is scarier than his Once Upon a Time character,neutral
518,"Cinematography... beautiful, Musical score... beautiful, dialogue... beautiful",positive
519,PERFECT,positive
520,The best movie ever made,positive
521,Simply spectacular,neutral
522,A Masterpiece By Far One Of The Best Sequels Ever Made,positive
523,SKINNING THE HUMAN SOUL,neutral
524,It culminates into something enjoyable....,neutral
525,Awesome Awesome Movie!,positive
526,A sci-fi masterpiece,positive
527,Epic Sci-Fi,neutral
528,"Awe-inspiring, jaw-dropping and mind-blowing! Dune 2 is absolutely EPIC!",neutral
529,Dune: Part Two Review!,neutral
530,One of (if not the best) movie I have ever seen.,neutral
531,Better than Part 1,positive
532,Epic epicness,neutral
533,It might be old but it's gold.,neutral
534,This is what cinema is,neutral
535,Epic in every scene,neutral
536,I think you should watch it more than once.,neutral
537,Dune 2 IMAX experience,neutral
538,Masterpiece: one for the history of movies.,positive
539,Wow,positive
540,An epic masterpiece,positive
541,Slightly disappointed because...,negative
542,Breath taking,neutral
543,Absolutely breathtaking,positive
544,Disappointing,negative
545,Cinema still gets made in 2024,neutral
546,I could've watched this movie for 5hrs straight,positive
547,The music...the cinematography...the CGI...Timothy...Rebecca,neutral
548,A Cinematic Masterpiece!,positive
549,"Not a bad film, but...",positive
550,An even greater disappointment than part one,negative
551,Technically Perfect,positive
552,Star Wars of the 2020's,negative
553,Incredible,neutral
554,Visionary film making at its finest.,positive
555,Brilliant on every level!,positive
556,Good but under its possibilities,positive
557,In many aspects of cinema this film exceeds. One of the Greatest films of the decade so far.,positive
558,Great Film And Adaptation,positive
559,As CLOSE to perfect that a movie can be,positive
560,"High in the running for best film of the past twenty-four years, but missed potential holds it back",negative
561,"Mesmerising, a pure epic piece of entertainment",positive
562,"It's called an ""adaptation"" for a reason guys!",neutral
563,Dune Part 2,neutral
564,First-Rate Spectacle!,neutral
565,Masterpiece,positive
566,Greatest sci-fi Film ever,positive
567,Epic masterpiece,positive
568,An honor to the book,positive
569,A Sci-fi Revolution.. Denis Villeneuve has created History,positive
570,Breathtaking,positive
571,Just what the movies needed!,neutral
572,Masterpiece,positive
573,Perfect,positive
574,Fantastic movie waiting for its well-deserved ending,positive
575,As many sand Burn,neutral
576,A more than worthy conclusion.,positive
577,Dune: Part Two it's totally amazing BEST SF MOVIE,positive
578,One of the best cinematic experiences,positive
579,This movie actually exists,neutral
580,Cinema at it's finest,neutral
581,gonna be hard to top this one guys,positive
582,Superb film making,positive
583,Scintillating Steam Punk Sci-Fi is Style Over Substance...,neutral
584,Epic masterpiece,positive
585,I still cant process what i just saw,neutral
586,I love it,positive
587,Better than Star Wars,negative
588,My Arrakis,neutral
589,Messiah Killer,negative
590,A NEW PILLAR IN SCI-FI CINEMA,neutral
591,I'm sad it's over,negative
592,"A, new, classic",neutral
593,Dune. Part Two. A Masterpiece,positive
594,Good,positive
595,magnitude,neutral
596,Bear Witness to the Movie of the Year (and Next Five).,neutral
597,Peak cinematography!,neutral
598,Lead them to paradise,positive
599,Pure Respect for the Original Book,positive
600,Wonderful cinematography,positive
601,don't know what i just watched,neutral
602,Almost Perfect down to the last detail,positive
603,One of the masterpieces,positive
604,The best movie experience of a lifetime,positive
605,It is right up there with THE EMPIRE STRIKES BACK and BLADE RUNNER.,negative
606,Instant classic of our generation,neutral
607,Captivating,neutral
608,A spectacle of Cinema!,neutral
609,An intense journey that takes you by the guts...,positive
610,"Wow, already a classic",positive
611,INSANELY GOOD!!,positive
612,Can't wait for dune messiah,neutral
613,A masterpiece in sci-fi cinema,positive
614,Just wow!,positive
615,Confusing and needs context and back story!,negative
616,Ugh - The Tedium,negative
617,Better than in my head than when I read it 30 years ago,positive
618,One of the best movies of the last 10 years!,positive
619,It delivers,neutral
620,Got my heart racing!,neutral
621,Intense AF,positive
622,Good but anticlimactic,positive
623,As expected,neutral
624,Overrated: Part Two,neutral
625,This is why we go to the movies!,neutral
626,From a guy who is not usually into sci-fi...,neutral
627,Stupendous,neutral
628,Blew me away,neutral
629,A true cinematic experience writ-large,positive
630,MASTERPIECE,positive
631,Visually stunning but a bit slow,positive
632,I am shook,negative
633,Stunning and now surpassing Star Wars,negative
634,The chosen one,neutral
635,"Pretty good, albeit somewhat muddled.",positive
636,The saviour of Hollywood,neutral
637,A Cinematic Masterpiece!,positive
638,Absolute master class!,neutral
639,One of the best movies of this decade,positive
640,A remarkle achievement by Villeneuve,neutral
641,Really good! Better than the first!,positive
642,Up there with best sci-fi epics of all time,positive
643,Dune 2,neutral
644,A psychedelic space tale of power,neutral
645,Spectacular,neutral
646,More than a Movie,neutral
647,"Pacing is weird, beautiful cinematography",positive
648,Villeneuve Masterpiece,positive
649,A Cinematic Masterpiece,positive
650,GOOD JOB DENIS !,positive
651,Masterpiece (as written),positive
652,WOW!,positive
653,I don't understand,neutral
654,Did I give a 9? Because its clearly just an 8.5,positive
655,There was a lot of hype,neutral
656,Some startling Choices didn't pay off for me,positive
657,A true cinematography masterpiece!,positive
658,Absolutely overhyped,neutral
659,Dune Done good!,positive
660,One of the best movies I've ever seen.,positive
661,Shivers and intensity,neutral
662,Epic Movie!,neutral
663,Masterpiece of movie making. Dune Pt2 review,positive
664,We need more of this!,neutral
665,Lisan al Gaib,neutral
666,Dune: Part Two the best happines and fantasy,positive
667,It was worth to wait!!!,positive
668,A sequel that is better than the original,positive
669,It's better than first one but overhyped,positive
670,ONE OF THE BEST IN MY LIFETIME,positive
671,Powerful adaptation of my favorite book,positive
672,Could be the Greatest Sci-Fi Trilogy ever,positive
673,Spectacular,neutral
674,Sequels are often doomed to disappoint,negative
675,Just a pure masterpiece,positive
676,The Empire strikes back of this Generation.,negative
677,Awaiting the inevitable Extended Cut,negative
678,The Star Wars of the new generation,negative
679,A scienfic fiction masterpiece that blows the first movie out of the water,positive
680,Finally!,neutral
681,Denis Villeneuve and his team continue to push the boundaries of sci-fi cinema.,neutral
682,Peak?,neutral
683,"Epic, peak filmmaking",neutral
684,Amazing,positive
685,Now that was a great movie!,positive
686,One of the few great sci-fi movies,positive
687,Adaption of Dune will not get better than this.,negative
688,Everything I expected and more,neutral
689,"Part one was promising, this second part disappointed me",negative
690,Don't miss it if you like beautiful cinematographic art,positive
691,Am on the bandwagon. Lived up to the hype.,neutral
692,Masterpiece- Absolutely blown away!,positive
693,"This movie make ""Dune - Part One"" so much better!!!",positive
694,Long live the fighter,positive
695,Best movie I've seen in a long time!,positive
696,Cinema for a Generation,neutral
697,One of the Greatest Achievements in Cinema History!,positive
698,Dune Part 2 = The Dark Knight,neutral
699,Beyond my very high expectations,neutral
700,A cinematic masterpiece!,positive
701,A spit on the books the visuals alone cannot redeem,negative
702,"Good, except for Chani",positive
703,Remarkable!,positive
704,May thy knife chip and shatter..,neutral
705,VILLENEUVE IS THE NEW SCI-FI KING,neutral
706,Best movie of the decade,positive
707,Best movie ever,positive
708,This movie was all i wanted from it and i cant wait for the next part,neutral
709,Amazing as expected!,positive
710,A Science-Fiction Epic From The Past For Today,neutral
711,Review from the Egyptian Dune,neutral
712,Epic Movie,neutral
713,Desert power indeed.,neutral
714,"A great sequel, better than the first part",positive
715,Dune 2 - A science fiction master piece,neutral
716,Wow - An IMAX experience like few others,positive
717,WATCH IN IMAX,neutral
718,Disappointed,negative
719,Well worth the wait,positive
